year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection
2023,Latvia,0.0911,0.0276,0.0549,0.2142,0.0074
2023,Lithuania,0.1916,0.0764,0.0627,0.1172,0.0094
2023,Luxembourg,0.1747,0.0883,0.1027,0.0,0.0141
2023,Netherlands,0.0959,0.0206,0.0713,0.1364,0.0178
2023,New Zealand,0.0774,0.0699,0.0493,0.0155,0.047
2023,Norway,0.1545,0.0333,0.0645,0.0611,0.0547
2023,Poland,0.078,0.0591,0.0213,0.3845,0.0076
2023,Portugal,0.0835,0.1009,0.0427,0.0102,0.0117
2023,Romania,0.0853,0.1089,0.0304,0.1298,0.0106
2023,Slovak Republic,0.0906,0.0397,0.0739,0.005,0.0133
2023,Slovenia,0.1161,0.1035,0.0334,0.0699,0.0135
2023,Spain,0.0881,0.0358,0.0504,0.051,0.0183
2023,Sweden,0.1246,0.0274,0.0698,0.0327,0.0487
2023,Switzerland,0.1126,0.0367,0.0498,0.2351,0.0117
2023,United Kingdom,0.0527,0.0255,0.1077,0.1985,0.0244
2023,United States,0.2158,0.0255,0.1356,0.0977,0.0143
2024,"DAC Countries, Total",0.1029,0.046,0.0963,0.0976,0.0257
2024,Australia,0.0913,0.0386,0.1113,0.0,0.0112
2024,Austria,0.0942,0.12,0.0238,0.0359,0.0215
2024,Belgium,0.0845,0.046,0.0542,0.0927,0.0189
2024,Canada,0.0513,0.0339,0.0955,0.1652,0.0311
2024,Czechia,0.0807,0.0335,0.0357,0.1866,0.0139
2024,Denmark,0.1567,0.0326,0.0532,0.0425,0.0314
2024,Estonia,0.0829,0.0531,0.0363,0.0194,0.0128
2024,Finland,0.1053,0.0407,0.0492,0.1291,0.0246
2024,France,0.0437,0.079,0.059,0.0462,0.0414
2024,Germany,0.0625,0.0798,0.0383,0.132,0.0374
2024,Greece,0.0767,0.0336,0.0276,0.0688,0.0128
2024,Hungary,0.0336,0.4281,0.0732,0.0032,0.0022
2024,Iceland,0.1375,0.053,0.1057,0.0569,0.0142
2024,Ireland,0.1029,0.0333,0.0487,0.3272,0.0208
2024,Italy,0.0689,0.0412,0.037,0.1717,0.0188
2024,Japan,0.0362,0.0252,0.0541,0.0004,0.0099
2024,Korea,0.142,0.0593,0.078,0.0002,0.0146
2024,Latvia,0.0857,0.0317,0.041,0.0984,0.013
2024,Lithuania,0.1531,0.0485,0.0415,0.0466,0.0101
2024,Luxembourg,0.157,0.0939,0.1061,0.0004,0.007
2024,Netherlands,0.0868,0.0137,0.0659,0.1392,0.0151
2024,New Zealand,0.0785,0.0818,0.0588,0.016,0.0707
2024,Norway,0.1356,0.035,0.0763,0.0577,0.08
2024,Poland,0.071,0.0824,0.0284,0.1327,0.0148
2024,Portugal,0.0647,0.0881,0.0374,0.0201,0.011
2024,Romania,0.0808,0.1101,0.0284,0.047,0.0114
2024,Slovak Republic,0.0966,0.0405,0.03,0.0034,0.0136
2024,Slovenia,0.1146,0.089,0.0276,0.0255,0.0157
2024,Spain,0.0843,0.0373,0.0464,0.0647,0.0212
2024,Sweden,0.1422,0.0276,0.0713,0.0199,0.0386
2024,Switzerland,0.0992,0.0374,0.0517,0.2056,0.016
2024,United Kingdom,0.0929,0.0466,0.1025,0.1676,0.0431
2024,United States,0.1821,0.0229,0.2015,0.0937,0.0127
