Year,Donor,COVID ODA,Health (excl. COVID),IDRC,ODA to Ukraine,Other ODA,Total ODA,Preliminary
2019,Poland,0.0,47.586016,7.750216,120.141893,856.9,1032.334081,
2020,Poland,43.035,42.848391,8.714938,130.326473,848.9,1073.828003,
2021,Poland,186.814,25.68663,20.519176,142.141493,820.4,1195.545875,
2022,Poland,226.174,25.715375,2791.55843,742.72794,663.4,4449.620153,
2023,Poland,214.388,21.814435,1453.905234,689.17476,439.8,2819.119604,
2024,Poland,0.0,0.0,368.59,0.0,,2064.69,1696.1000000000001
2018,Portugal,0.0,23.808292,10.883545,4.5632459999999995,429.8,469.019185,
2019,Portugal,0.0,28.153839,9.070861,5.841941,441.0,484.062726,
2020,Portugal,9.707,21.563744999999997,11.079036,18.262941,408.4,468.967065,
2021,Portugal,76.405,17.074879,11.86022,14.51584,372.4,492.215221,
2022,Portugal,89.653,17.42126,16.283574,144.071888,331.3,598.687773,
2023,Portugal,72.914,20.127558,9.507779,157.118724,291.9,551.607586,
2024,Portugal,0.0,0.0,22.92,0.0,,669.11,646.2
2018,Slovak Republic,0.0,7.791379,0.964618,4.3921399999999995,155.0,168.185492,
2019,Slovak Republic,0.0,6.176463,1.093778,4.32529,134.0,145.547963,
2020,Slovak Republic,4.534,6.531246,1.169736,9.492057,148.5,170.274945,
2021,Slovak Republic,31.125,4.337448,1.375201,7.746704,131.9,176.480328,
2022,Slovak Republic,46.948,4.416084,1.569579,57.772892,93.7,204.378234,
2023,Slovak Republic,42.75,3.810297,1.627466,73.683055,62.3,184.218658,
2024,Slovak Republic,0.0,0.0,1.09,0.0,,191.39,190.3
2018,Slovenia,0.0,3.115985,2.861258,3.736462,87.8,97.528037,
2019,Slovenia,0.0,2.895662,2.694812,3.468667,96.5,105.554828,
2020,Slovenia,4.002,2.563364,3.141659,3.972803,92.3,105.963837,
2021,Slovenia,23.706,2.286476,2.55369,4.411904,94.4,127.344746,
2022,Slovenia,22.492,2.972499,30.072278,34.318444,105.4,195.209468,
2023,Slovenia,22.34,2.716332,18.344024,50.71039,73.2,167.35599,
2024,Slovenia,0.0,0.0,7.3,0.0,,164.36,157.1
2018,Spain,0.0,165.385659,303.854594,80.062738,2638.0,3187.308318,
2019,Spain,0.0,152.263878,343.681799,58.718907,2819.3,3374.003189,
2020,Spain,215.131,145.745613,216.681601,114.730088,2633.4,3325.642842,
2021,Spain,802.684,149.115096,242.788139,81.217472,2534.1,3809.936766,
2022,Spain,799.359,126.65961,1019.049028,714.7897330000001,2143.6,4803.455919,
2023,Spain,456.095,169.156477,328.063532,867.649543,2169.5,3990.450558,
2024,Spain,0.0,0.0,424.35,0.0,,4350.47,3926.1
2018,Sweden,0.0,546.4460300000001,531.903635,86.27968999999999,4918.2,6082.848951,
2019,Sweden,0.0,528.026473,282.768613,53.778449,4740.7,5605.234372,
2020,Sweden,546.722,413.383401,153.717765,70.531214,5352.1,6536.474735,
2021,Sweden,484.816,422.417228,82.05876,59.968253,4489.9,5539.195012,
2022,Sweden,318.904,353.426315,399.993387,412.974337,4194.7,5679.966451,
